# HTM
#
company	ovcid	city    	name
# List extracted from http://haltetijden.htm.net/index.php, using (e.g.)
# http://haltetijden.htm.net/index.php?rs=aanvullen&rsargs[]=2881
# It seems that: ovcid = 3abcd, with abcd = HTM-haltenummer. The list below
# was actually verified to match the OVC records for only a few of the stations.
# Note that the city is filled in by hand, and may contain errors
#
# tram and bus
3	37702	Den Haag	Station Mariahoeve
3	37703	Den Haag	Essesteijn
3	37704	Den Haag	Essesteijn
3	37705	Den Haag	Elzendreef
3	37706	Den Haag	Elzendreef
3	39003	Den Haag	Brasserskade
3	39004	Den Haag	Brasserskade
3	39005	Delft		Nieuwe Plantage
3	39006	Delft		Nieuwe Plantage
3	39007	Delft		Wateringsevest
3	39008	Delft		Wateringsevest
3	39009	Delft		Prinsenhof
3	39010	Delft		Prinsenhof
3	39017	Delft		Delft Station
3	39018	Delft		Delft Station
3	39101	Delft		Krakeelpolderweg
3	39102	Delft		Krakeelpolderweg
3	39103	Den Haag	Hovenpassage
3	39104	Den Haag	Hovenpassage
3	39105	Den Haag	Aart van der Leeuwlaan
3	39106	Den Haag	Aart van der Leeuwlaan
3	39107	Den Haag	Diepenbrockstraat
3	39108	Den Haag	Diepenbrockstraat
3	39109	Den Haag	Van der Slootsingel
3	39110	Den Haag	Van der Slootsingel
3	39111	Den Haag	Sadatweg
3	39112	Den Haag	Sadatweg
3	39113	Den Haag	Bikolaan
3	39114	Den Haag	Bikolaan
3	39115	Den Haag	Abtswoudsepark
3	39116	Den Haag	Abtswoudsepark keerlus
3	39117	Den Haag	Abtswoudsepark
3	39501	Den Haag	Leidsenhage
3	39502	Den Haag	Leidsenhage
3	39503	Den Haag	Burgemeester Kolfschotenlaan
3	39504	Den Haag	Burgemeester Kolfschotenlaan
3	39505	Den Haag	Kastelenring
3	39506	Den Haag	Kastelenring
3	39507	Den Haag	Dillenburgsingel
3	39508	Den Haag	Dillenburgsingel
3	39509	Den Haag	MCH Antoniushove
3	39521	Den Haag	MCH Antoniushove
3	39810	Den Haag	Scholekstersingel
3	39811	Den Haag	Scholekstersingel
3	39812	Den Haag	Gruttosingel
3	39813	Den Haag	Gruttosingel
3	39814	Nootdorp	Nootdorp Centrum
3	39815	Nootdorp	Nootdorp Centrum
# This record is not found on the website above, but was encountered in practice
3	31121	Den Haag	Van Speijkstraat*
# Additional info on many more lines seems to be available at http://www.htm.net/smartsite.dws?id=169
